experiment_ID,condition,pixel_micron_ratio_source,pixel_micron_ratio,time_interval,start_time,end_time,delta_time,pixel_number,pixel_number_outSF
50.0,Cdc42,from key file,0.6918883,P5_P6,5.0,6.0,1.0,271431.0,113790.0
51.0,Cdc42,from key file,0.6918883,P5_P6,5.0,6.0,1.0,232551.0,99017.0
52.0,Cdc42,from key file,0.6918883,P5_P6,5.0,6.0,1.0,245826.0,99417.0
53.0,Cdc42,from key file,0.6918883,P5_P6,5.0,6.0,1.0,222687.0,106123.0
54.0,Cdc42,from key file,0.6918883,P5_P6,5.0,6.0,1.0,451918.0,189224.0
55.0,Cdc42,from key file,0.6918883,P5_P6,5.0,6.0,1.0,530810.0,162164.0
56.0,Cdc42,from key file,0.6918883,P5_P6,5.0,6.0,1.0,306236.0,128081.0
57.0,Cdc42,from key file,0.62517,P5_P7,5.0,7.0,2.0,2718951.0,852195.0
58.0,Cdc42,from key file,0.62517,P5_P7,5.0,7.0,2.0,1464207.0,458980.0
59.0,Cdc42,from key file,0.62517,P5_P7,5.0,7.0,2.0,1666168.0,665049.0
60.0,Cdc42,from key file,0.62517,P5_P7,5.0,7.0,2.0,2360025.0,924877.0
69.0,Cdc42,from key file,0.62517,P5_P9,5.0,9.0,4.0,1871853.0,621214.0
70.0,Cdc42,from key file,0.62517,P5_P9,5.0,9.0,4.0,1609149.0,690327.0
138.0,Cdc42,from key file,0.62517,P5_P6,5.0,6.0,1.0,301974.0,150713.0
139.0,Cdc42,from key file,0.62517,P5_P6,5.0,6.0,1.0,156633.0,71828.0
140.0,Cdc42,from key file,0.62517,P5_P6,5.0,6.0,1.0,109747.0,31563.0
141.0,Cdc42,from key file,0.62517,P5_P6,5.0,6.0,1.0,197829.0,69250.0
142.0,Cdc42,from key file,0.62517,P5_P6,5.0,6.0,1.0,971373.0,173715.0
143.0,Cdc42,from key file,0.62517,P5_P6,5.0,6.0,1.0,880591.0,326808.0
144.0,Cdc42,from key file,0.62517,P5_P6,5.0,6.0,1.0,1159938.0,421593.0
145.0,Cdc42,from key file,0.62517,P5_P6,5.0,6.0,1.0,260414.0,81880.0
146.0,Cdc42,from key file,0.62517,P5_P7,5.0,7.0,2.0,998574.0,365145.0
147.0,Cdc42,from key file,0.62517,P5_P7,5.0,7.0,2.0,660329.0,359159.0
