experiment_ID,condition,pixel_micron_ratio_source,pixel_micron_ratio,time_interval,start_time,end_time,delta_time,pixel_number,pixel_number_outSF
1.0,control,from key file,0.6918882,P5_P6,5.0,6.0,1.0,71582.0,39132.0
2.0,control,from key file,0.6918882,P5_P6,5.0,6.0,1.0,55079.0,23369.0
3.0,control,from key file,0.6918882,P5_P6,5.0,6.0,1.0,180479.0,70531.0
4.0,control,from key file,0.6918882,P5_P6,5.0,6.0,1.0,6001.0,2557.0
5.0,control,from key file,0.6918882,P5_P6,5.0,6.0,1.0,7930.0,1673.0
6.0,control,from key file,0.6918882,P5_P7,5.0,7.0,2.0,143663.0,70807.0
7.0,control,from key file,0.6918882,P5_P7,5.0,7.0,2.0,125342.0,50318.0
8.0,control,from key file,0.6918882,P5_P7,5.0,7.0,2.0,197218.0,87258.0
9.0,control,from key file,0.6918882,P5_P7,5.0,7.0,2.0,639087.0,350590.0
14.0,control,from key file,0.6918882,P5_P8,5.0,8.0,3.0,81083.0,49317.0
15.0,control,from key file,0.6918882,P5_P8,5.0,8.0,3.0,121383.0,64279.0
16.0,control,from key file,0.6918882,P5_P8,5.0,8.0,3.0,50649.0,23631.0
17.0,control,from key file,0.6918882,P5_P8,5.0,8.0,3.0,13368.0,7642.0
18.0,control,from key file,0.6918882,P5_P8,5.0,8.0,3.0,27769.0,17256.0
21.0,control,from key file,0.8302658,P5_P9,5.0,9.0,4.0,76762.0,37756.0
22.0,control,from key file,0.8302658,P5_P9,5.0,9.0,4.0,143435.0,62137.0
23.0,control,from key file,0.8302658,P5_P9,5.0,9.0,4.0,75947.0,42433.0
24.0,control,from key file,0.8302658,P5_P9,5.0,9.0,4.0,39690.0,22538.0
35.0,control,from key file,0.6918882,P8_P9,8.0,9.0,1.0,45633.0,29376.0
36.0,control,from key file,0.6918882,P8_P9,8.0,9.0,1.0,6319.0,3135.0
37.0,control,from key file,0.6918882,P8_P9,8.0,9.0,1.0,12216.0,7455.0
38.0,control,from key file,0.6918882,P8_P9,8.0,9.0,1.0,17565.0,8582.0
39.0,control,from key file,0.62517,P5_P9,5.0,9.0,4.0,2149650.0,1076673.0
40.0,control,from key file,0.62517,P5_P9,5.0,9.0,4.0,2009452.0,828238.0
41.0,control,from key file,0.62517,P5_P9,5.0,9.0,4.0,1740133.0,842196.0
42.0,control,from key file,0.62517,P5_P9,5.0,9.0,4.0,1804024.0,741645.0
43.0,control,from key file,0.62517,P5_P9,5.0,9.0,4.0,640453.0,367537.0
44.0,control,from key file,0.62517,P5_P9,5.0,9.0,4.0,717431.0,404662.0
87.0,control,from key file,0.62517,P5_P6,5.0,6.0,1.0,157310.0,63496.0
88.0,control,from key file,0.62517,P5_P6,5.0,6.0,1.0,137227.0,43375.0
89.0,control,from key file,0.62517,P5_P6,5.0,6.0,1.0,75049.0,23684.0
90.0,control,from key file,0.62517,P5_P6,5.0,6.0,1.0,136970.0,65742.0
91.0,control,from key file,0.62517,P5_P7,5.0,7.0,2.0,236826.0,104369.0
92.0,control,from key file,0.62517,P5_P7,5.0,7.0,2.0,366456.0,166672.0
93.0,control,from key file,0.62517,P5_P7,5.0,7.0,2.0,552459.0,221287.0
