experiment_ID,condition,pixel_micron_ratio_source,pixel_micron_ratio,time_interval,start_time,end_time,delta_time,pixel_number,pixel_number_outSF
61.0,Rac1,from key file,0.6918883,P5_P6,5.0,6.0,1.0,574465.0,205263.0
62.0,Rac1,from key file,0.6918883,P5_P6,5.0,6.0,1.0,406622.0,150132.0
63.0,Rac1,from key file,0.6918883,P5_P6,5.0,6.0,1.0,969008.0,262205.0
64.0,Rac1,from key file,0.6918883,P5_P6,5.0,6.0,1.0,315701.0,84167.0
65.0,Rac1,from key file,0.6918883,P5_P6,5.0,6.0,1.0,337770.0,97595.0
66.0,Rac1,from key file,0.6918883,P5_P6,5.0,6.0,1.0,190518.0,52534.0
67.0,Rac1,from key file,0.6918883,P5_P6,5.0,6.0,1.0,86027.0,14910.0
68.0,Rac1,from key file,0.6918883,P5_P6,5.0,6.0,1.0,64084.0,7332.0
73.0,Rac1,from key file,0.62517,P5_P7,5.0,7.0,2.0,303745.0,135317.0
74.0,Rac1,from key file,0.62517,P5_P7,5.0,7.0,2.0,1067440.0,517654.0
75.0,Rac1,from key file,0.62517,P5_P7,5.0,7.0,2.0,1162400.0,645707.0
76.0,Rac1,from key file,0.62517,P5_P7,5.0,7.0,2.0,229521.0,95710.0
77.0,Rac1,from key file,0.62517,P5_P8,5.0,8.0,3.0,1188288.0,483167.0
78.0,Rac1,from key file,0.62517,P5_P8,5.0,8.0,3.0,903553.0,391227.0
79.0,Rac1,from key file,0.62517,P5_P8,5.0,8.0,3.0,1426070.0,615782.0
80.0,Rac1,from key file,0.62517,P5_P8,5.0,8.0,3.0,1315606.0,583278.0
82.0,Rac1,from key file,0.62517,P5_P9,5.0,9.0,4.0,605942.0,318425.0
83.0,Rac1,from key file,0.62517,P5_P9,5.0,9.0,4.0,563145.0,229835.0
84.0,Rac1,from key file,0.62517,P5_P9,5.0,9.0,4.0,3793231.0,1799053.0
184.0,Rac1,from key file,0.62517,P5_P6,5.0,6.0,1.0,269183.0,154166.0
185.0,Rac1,from key file,0.62517,P5_P6,5.0,6.0,1.0,231673.0,109416.0
186.0,Rac1,from key file,0.62517,P5_P6,5.0,6.0,1.0,452736.0,270465.0
187.0,Rac1,from key file,0.62517,P5_P6,5.0,6.0,1.0,570547.0,295869.0
188.0,Rac1,from key file,0.62517,P5_P6,5.0,6.0,1.0,537089.0,297033.0
189.0,Rac1,from key file,0.62517,P5_P6,5.0,6.0,1.0,696591.0,331510.0
190.0,Rac1,from key file,0.62517,P5_P6,5.0,6.0,1.0,538781.0,265066.0
191.0,Rac1,from key file,0.62517,P5_P6,5.0,6.0,1.0,401959.0,228697.0
192.0,Rac1,from key file,0.62517,P5_P7,5.0,7.0,2.0,369797.0,181417.0
193.0,Rac1,from key file,0.62517,P5_P7,5.0,7.0,2.0,559609.0,298962.0
194.0,Rac1,from key file,0.62517,P5_P7,5.0,7.0,2.0,587778.0,274278.0
195.0,Rac1,from key file,0.62517,P5_P7,5.0,7.0,2.0,606488.0,325273.0
