experimentID,condition,region,histogram_kind,time_interval,delta_time,start_time,end_time,minimal_pixel_num,N,log10(N),mean,median,10th_pctl,25th_pctl,90th_pctl,75th_pctl,95th_pctl
1,control,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,26932.0,4.4302686057959075,0.46995681074263373,0.4375308161872158,0.2217640285700416,0.30950601503933217,0.8174442898690295,0.600282488833115,0.8545554387614207
2,control,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,28944.0,4.461558549515739,0.4683900191347918,0.4256103783428563,0.292301825551729,0.36368304126739814,0.6587947262177799,0.575142349318515,0.7455322309437951
3,control,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,96052.0,4.982506412195327,0.38459139097826944,0.3729214501468059,0.14475450170397303,0.23751826901139367,0.642103418673005,0.5332651276980709,0.6906324980232498
5,control,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,6224.0,3.7940695839816323,0.4807898756307335,0.45208337048461755,0.2240507913227795,0.37008515480071247,0.6973665495959909,0.6792556359030416,0.7277006112811306
6,control,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,63581.0,4.803327354202639,0.4481962202178398,0.4254478779140411,0.2612846140445257,0.3453107003026851,0.7550604379050517,0.5529230789688422,0.7634692697280768
7,control,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,61578.0,4.789425579288369,0.49131951082833336,0.496938285019085,0.3568610719482018,0.43352065526051387,0.6128134853860276,0.5541513832212643,0.632786304446147
8,control,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,94089.0,4.973538852773219,0.4786598924803852,0.5066651728428022,0.19788126654352747,0.326309653606416,0.6840584044786671,0.6486789482039428,0.7047209465119622
9,control,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,223698.0,5.349662101249751,0.4627367398143836,0.4961767811717962,0.20858056052899956,0.34280549039612196,0.6535627780438353,0.5999151757299144,0.7010539944946136
14,control,in_SF,distances_AV,P5_P8,3.0,5.0,8.0,5000.0,27598.0,4.4408776103102925,0.4597586581439172,0.48248260997482373,0.2845289816241057,0.35116334481277056,0.5954590454669941,0.5711465151599441,0.6032241103141852
15,control,in_SF,distances_AV,P5_P8,3.0,5.0,8.0,5000.0,49446.0,4.694131164523868,0.49499412521033653,0.5056289865802794,0.2695260694367268,0.38232466711154733,0.7192076809937485,0.5666733452451294,0.7452515626639609
16,control,in_SF,distances_AV,P5_P8,3.0,5.0,8.0,5000.0,23164.0,4.364813556261336,0.5344932914978326,0.54407252903448,0.3403531464525656,0.5020149861078972,0.6508587103251499,0.577532265933155,0.718925236874818
18,control,in_SF,distances_AV,P5_P8,3.0,5.0,8.0,5000.0,8125.0,3.909823369650912,0.5439851848086601,0.5738465594189934,0.3414687318989616,0.4324625239490248,0.695465264630957,0.6622236074819499,0.7028956607586561
21,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,33768.0,4.528505339146352,0.5409749436841477,0.5768917703523824,0.38059596580298244,0.48428355491634,0.644910572684934,0.6156498339307649,0.6672340839188199
22,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,73434.0,4.865897185168377,0.5161718685204931,0.5169377908094432,0.30193356054321546,0.4293886522423742,0.6791797905902633,0.6503295856710162,0.7023477977041936
23,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,25494.0,4.406437981473158,0.5703391619190729,0.5452932081377464,0.47356535447928744,0.49087433955282184,0.7090881491820893,0.6414371392022783,0.7531915941387699
24,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,14829.0,4.171111865180439,0.6105242905705298,0.6115341082348352,0.5089716012851957,0.5338425800050901,0.7182000476390448,0.6895982887496526,0.7261213776400284
35,control,in_SF,distances_AV,P8_P9,1.0,8.0,9.0,5000.0,14725.0,4.168055303459139,0.5069220126839022,0.4956152132042018,0.41384566064090084,0.4501982095465983,0.6388969785861746,0.5688377818032835,0.6501460516600049
38,control,in_SF,distances_AV,P8_P9,1.0,8.0,9.0,5000.0,8009.0,3.9035782936630543,0.5392590627237872,0.6098346099350623,0.29749573930589424,0.37613508978625165,0.7432316755617404,0.6813461199861645,0.7472032208163578
39,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,922396.0,5.9649174109587,0.4966386095303934,0.5040636716157421,0.34381391545271506,0.4175465041242529,0.6504737248602938,0.5492447486019664,0.7064510967347627
40,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,1074869.0,6.031355537699169,0.48666425789268203,0.4910246089480288,0.33177626833889706,0.4081798805363967,0.6195261432182378,0.5744725853584852,0.6600176452369696
41,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,784725.0,5.8947174887110485,0.5274774634379453,0.526302093116437,0.3923097501629284,0.44709118283332616,0.6680721382238507,0.5977038427764081,0.7011100130620749
42,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,963474.0,5.983839999418161,0.47681243554008296,0.475827423812609,0.25147559488536997,0.3429419119443306,0.6809868269705268,0.6253697793155689,0.7291963698702479
43,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,226221.0,5.354532917834332,0.5038630578406981,0.5278136198969007,0.3072742206023595,0.35107516972681385,0.7057007078781824,0.6231927402279174,0.7378497505307401
44,control,in_SF,distances_AV,P5_P9,4.0,5.0,9.0,5000.0,264361.0,5.422197386009939,0.4167508747632968,0.39517593031151804,0.17627629226054572,0.25001977445282947,0.6779387731951895,0.6222874983329905,0.7028136640066343
87,control,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,72879.0,4.862602404888906,0.48035977291683774,0.49489881476830505,0.3081572164528955,0.4050401489459718,0.622849452544462,0.5658645675688735,0.6535077575591783
88,control,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,80270.0,4.904553262976773,0.5529105438669418,0.5524853233640772,0.44305589372313997,0.5071887026184636,0.6773824252659898,0.6009810019492089,0.7049313411644619
89,control,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,47535.0,4.677013498245982,0.4979804193134348,0.4855248064720979,0.366450918250281,0.4450497671755981,0.6311493354486849,0.5590286290491473,0.6418554462633123
90,control,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,58473.0,4.7669553762046935,0.4995449391685752,0.4839186457209955,0.3124257895804639,0.3905481701600151,0.6860986251833856,0.617538741916054,0.7118864792182558
91,control,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,112598.0,5.05153067651286,0.4760287801429609,0.48850902716797745,0.3328348363087457,0.38946084194766234,0.6015176438167937,0.5583026879603961,0.6318886781537437
92,control,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,173191.0,5.2385253198297494,0.44810914178347167,0.46219771333327,0.3334588644260518,0.38527067441965374,0.5593973894203212,0.5110628739845215,0.5822316086031487
93,control,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,293358.0,5.46739793611288,0.4876412193631664,0.49883811687290625,0.31715993083186234,0.3908188016317203,0.6407321009617802,0.5867515160942904,0.666045006462149
