experimentID,condition,region,histogram_kind,time_interval,delta_time,start_time,end_time,minimal_pixel_num,N,log10(N),mean,median,10th_pctl,25th_pctl,90th_pctl,75th_pctl,95th_pctl
61,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,301553.0,5.479363653407087,0.5069520826064536,0.5146860722192002,0.36357094858792793,0.414540936111783,0.6404131180436913,0.577912554626647,0.6802711854032403
62,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,214557.0,5.331542688114933,0.49208504323854785,0.4898058789954736,0.34619856919103587,0.4158747188873545,0.6349875194423406,0.5657358120873301,0.6789413297940818
63,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,635048.0,5.8028065526105355,0.5146648240138388,0.513230180738659,0.41541794231128554,0.4655334710316375,0.6271455668290863,0.5643445320075983,0.6559256036149349
64,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,208841.0,5.319815764089732,0.4853414709005004,0.4765395728593001,0.35423333608664614,0.4212601644274176,0.6126170944251016,0.554416502101799,0.6773822272870127
65,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,214399.0,5.331222755388761,0.45641819160649577,0.46586400480436196,0.26244034704325686,0.3482451629016459,0.6384712571530162,0.5619217171305282,0.679037954894002
66,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,120654.0,5.081541724497033,0.5141613282790348,0.516498427509939,0.34503762238265173,0.43891341203785905,0.6740660732727685,0.605413593858893,0.7088522188142613
67,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,64904.0,4.812271462969797,0.4540227198244787,0.45075908374834206,0.2599558684755374,0.3535685755093913,0.6487498465231998,0.5609174755772577,0.6936680525676064
68,Rac1,in_SF,distances_AV,P5_P6,1.0,5.0,6.0,5000.0,54169.0,4.733750818262289,0.48003861564656625,0.5,0.3283141515016197,0.4110767349219484,0.6062097368828541,0.5340988845724499,0.6570326638582022
73,Rac1,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,135829.0,5.132992503342044,0.4109525283427419,0.41508519766207175,0.24330078994910712,0.3201653993240208,0.5608188577753129,0.49775634380319483,0.5926967255667542
74,Rac1,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,446289.0,5.6496161826098,0.49069754718969233,0.49299017712985294,0.369193269706873,0.4339524776272038,0.6157480776733273,0.5532567917929301,0.6419388298852805
75,Rac1,in_SF,distances_AV,P5_P7,2.0,5.0,7.0,5000.0,415961.0,5.619052613610425,0.4877888434641289,0.4734171173937816,0.3826980969877652,0.4114423615280314,0.6188889848376049,0.5465447938442352,0.6610112684700536
